abbrev,lat,lng
AKW,41.3130868,-72.9248501
BASS,41.318109299999996,-72.9218678
BASSLB,41.3107769,-72.92728369999999
BATTEL,41.309394999999995,-72.9274988
BCMM,41.3023172,-72.933328
BCT,41.312604799999995,-72.925136
BF,41.315205999999996,-72.9249347
BK,41.310232899999995,-72.9281338
BM,41.3075648,-72.9287489
BML,41.30213,-72.934646
BR,41.3095567,-72.929289
BRBL,41.311568099999995,-72.92730949999999
BRW35,41.311592999999995,-72.9301442
C,41.3081579,-72.92883069999999
CCAM,41.3076489,-72.9320315
CO451,41.312076999999995,-72.9310629
CO493,41.310867599999995,-72.9256443
CRB,41.319279699999996,-72.9226077
CSC,41.3041991,-72.93343410000001
D,41.3096641,-72.9281415
DAVIES,41.312584900000004,-72.92497039999999
DC,41.31030940000001,-72.9316417
DL,41.3123351,-72.9244764
DOW,41.311307000000006,-72.9238505
EM,41.3149405,-72.9203459
ES,41.3126141,-72.93119229999999
ESC,41.315974,-72.9218042
EVANS,41.3149405,-72.9203459
F,41.309056,-72.9276529
GH,41.3098537,-72.9272806
GML,41.3219383,-72.9245009
GRN,41.308332,-72.9329516
HEN,41.309404099999995,-72.9260977
HLH17,41.3127374,-72.9234539
HLH28,41.313843399999996,-72.9239624
HQ,41.3121531,-72.9295349
JE,41.3089194,-72.9304216
K,41.3118917,-72.9246486
KGL,41.3165718,-72.9210786
KRN,41.3167919,-72.92335349999999
KT,41.3173271,-72.922629
L,41.3086693,-72.9279379
LC,41.3085589,-72.9295435
LEPH,41.3037199,-72.932118
LFOP,41.321253999999996,-72.9219222
LGH,41.3098325,-72.9263228
LOM,41.312715,-72.92427500000001
LORIA,41.3090333,-72.9315561
LUCE,41.3143939,-72.9242742
LWR,41.309772699999996,-72.9286938
MC,41.312629799999996,-72.9300997
MEC,41.313418999999996,-72.9248693
ML,41.3121951,-72.923844
MY,41.3156329,-72.92577849999999
OML,41.316729599999995,-72.92384539999999
PC,41.3098992,-72.9326352
PH,41.308401499999995,-72.9281365
PR77,41.3140091,-72.924582
PWG,41.3136209,-72.9307079
RDH,41.3087543,-72.9318795
RKZ,41.3144387,-72.9244804
RSN,41.3111563,-72.9233394
S,41.3171385,-72.9238008
SA10,41.3152834,-72.9216485
SCL,41.317934400000006,-72.9230346
SDQ,41.323159,-72.9220179
SHM,41.3031892,-72.9338533
SLB,41.3117096,-72.9280893
SM,41.311371799999996,-72.9254263
SMH,41.3106836,-72.9264565
SML,41.3110273,-72.92851089999999
SPL,41.3173464,-72.9231508
SSS,41.3118817,-72.9251955
STOECK,41.3104928,-72.9259617
SY,41.3101416,-72.9295552
TAC,41.3014753,-72.93372819999999
TC,41.310637,-72.9292676
TD,41.3104356,-72.92397369999999
TM432,41.3104356,-72.92397369999999
UT,41.3096744,-72.9309895
V,41.30799150000001,-72.92927999999999
W,41.308151099999996,-72.92833499999999
WALL53,41.309934,-72.9234985
WALL81,41.3119537,-72.9285735
WALL82,41.312076999999995,-72.9310629
WGS,41.310772199999995,-72.9227631
WH55,41.3118714,-72.9215612
WL,41.3190102,-72.9208641
WL-W,41.3190102,-72.9208641
WLH,41.3107099,-72.9270351
WTS,41.315799,-72.9237646
YCBA,41.3078875,-72.93053069999999
YK212,41.3037776,-72.9355176
YK220,41.3037776,-72.9355176
YSB,41.3174476,-72.92169
YUAG,41.308389999999996,-72.93095799999999
BAKER,41.3139739,-72.9288935
BOWERS,41.3171385,-72.9238008
BRADY,41.30213,-72.934646
CO100,41.3040604,-72.9313566
CO101,41.308630799999996,-72.92898319999999
CO47,41.308630799999996,-72.92898319999999
CR305,41.3071883,-72.9319921
CRW353,41.3079068,-72.9335179
EDG36,41.310279699999995,-72.93401899999999
EDW380,41.3198209,-72.9223703
ELM294,41.3108236,-72.9308768
GR109,41.3115855,-72.9258874
GREEN,41.308332,-72.9329516
HLH24,41.3134491,-72.92416899999999
HLH37,41.3145069,-72.9227215
HLH46,41.315077200000005,-72.9235965
HLH51,41.315138399999995,-72.9225881
HLH55,41.3154342,-72.92238789999999
HOPE,41.3022,-72.933362
ISM,41.32315,-72.9237401
LEIGH,41.30984,-72.92632309999999
MARSH,41.321703899999996,-72.9238079
PK205,41.304826999999996,-72.9359041
PK217,41.304826999999996,-72.9359041
PM,41.3159749,-72.9212249
PR135,41.3157232,-72.9242711
PR406,41.3156329,-72.92577849999999
TRUM87,41.313883,-72.9243407
W-OCN,41.2578801,-72.9887651
YK149,41.3095595,-72.9310118
YK222,41.3096744,-72.9309895
